City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Batticaloa,LK,84.36,overcast clouds,7.7102,81.6924,Grand Star Guest House
599,Edd,ER,85.57,clear sky,13.9297,41.6925,
600,Amalapuram,IN,82.33,clear sky,16.5833,82.0167,swayamprabha service apartments
601,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
602,Dwarka,IN,83.46,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
603,Carballo,ES,80.02,scattered clouds,43.213,-8.691,Pazo do Souto
605,Koson,UZ,70.12,few clouds,39.0375,65.585,Jamshid Orziev ning uyi
606,Umm Kaddadah,SD,94.73,scattered clouds,13.6017,26.6876,
607,Tezu,IN,70.23,overcast clouds,27.9167,96.1667,Circuit House
608,Houma,US,84.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
609,Sechura,PE,76.44,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
610,Standish,US,86.85,few clouds,43.9831,-83.9589,Standish Motel
611,Umm Lajj,SA,85.35,clear sky,25.0213,37.2685,Moon light Furnished Units
617,Dhuwaran,IN,85.98,clear sky,22.2333,72.8,Amul parlour
622,Cafarnaum,BR,88.07,few clouds,-11.6936,-41.4683,Pousada avenida
624,Alta Floresta,BR,86.63,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
625,Chippewa Falls,US,83.17,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
626,Ribeira Brava,PT,73.0,clear sky,32.65,-17.0667,Hotel do Campo
632,Freetown,SL,81.97,broken clouds,8.484,-13.2299,The Country Lodge Hotel
633,Hilsa,IN,85.93,scattered clouds,25.3167,85.2833,Mr. Akiv House
634,Sibut,CF,82.22,scattered clouds,5.718,19.0739,
637,Puerto Escondido,MX,90.9,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
639,Saint Anthony,US,74.93,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
642,Gambo,CF,78.03,light rain,4.6482,22.2633,
643,Mangan,IN,72.72,overcast clouds,27.5167,88.5333,Hotel Mout View
644,Gulf Gate Estates,US,87.06,clear sky,27.2517,-82.5147,Best Western Plus Siesta Key Gateway
645,Caucaia,BR,80.55,heavy intensity rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
646,Caninde,BR,87.01,overcast clouds,-4.3589,-39.3117,Hotel Casa Grande II
647,Xico,MX,74.48,scattered clouds,19.2667,-98.9333,Hotel del Valle
651,Nago,JP,73.83,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
653,Phalodi,IN,96.84,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
654,Pontianak,ID,75.18,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
655,Kerema,PG,77.56,few clouds,-7.9631,145.7785,Frena Lodge
